City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Khash,IR,75.04,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
489,Itambacuri,BR,77.25,broken clouds,-18.0311,-41.685,Pousada Bela
491,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
492,Brawley,US,90.21,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
493,Limbang,MY,78.91,broken clouds,4.75,115.0,Purnama Hotel
496,Ixtapa,MX,91.71,clear sky,20.7,-105.2,hotel la terminal
498,Balotra,IN,87.78,clear sky,25.8333,72.2333,Hotel City Square
503,Bac Lieu,VN,81.86,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
504,Tanah Merah,MY,78.62,broken clouds,5.8,102.15,Humaira Hotel
507,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
509,Rocha,UY,74.17,broken clouds,-34.4833,-54.3333,Hotel Arrarte
516,Kilindoni,TZ,75.96,overcast clouds,-7.9139,39.6668,Bustani B&B
518,Grants,US,70.03,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
526,Manta,EC,83.98,broken clouds,-0.95,-80.7333,Balandra Hotel
527,Poso,ID,76.68,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
