City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Atbasar,KZ,51.8,68.3333,54.05,59,72,2.39,broken clouds
233,Broome,US,42.2506,-75.833,56.62,81,100,9.22,overcast clouds
234,Gilgit,PK,35.9221,74.3087,65.5,44,11,3.0,few clouds
235,Chickasha,US,35.0526,-97.9364,71.15,26,0,9.22,clear sky
236,Malangali,TZ,-8.5667,34.85,63.79,89,100,11.18,overcast clouds
237,Fonte Boa,BR,-2.4959,-66.2662,76.82,96,100,3.11,overcast clouds
238,Jilib,SO,0.4883,42.7854,77.49,87,87,4.32,overcast clouds
239,Zalari,RU,53.5584,102.5065,33.49,68,100,4.12,overcast clouds
240,Airai,TL,-8.9266,125.4092,58.5,89,100,0.36,overcast clouds
241,Swan River,CA,52.1058,-101.2676,35.49,44,0,12.66,clear sky
242,Dauriya,RU,49.9333,116.8667,28.44,46,10,9.22,clear sky
243,Road Town,VG,18.4167,-64.6167,82.49,65,40,11.5,scattered clouds
244,Baiyin,CN,36.5583,104.2081,51.35,18,75,22.32,broken clouds
245,Shahrud,IR,36.4182,54.9763,61.56,64,100,4.34,overcast clouds
246,Laukaa,RU,58.7372,29.8453,36.1,77,42,5.99,scattered clouds
247,Namibe,AO,-15.1961,12.1522,71.64,74,1,4.81,clear sky
248,Lesnoy,RU,57.6198,63.0784,51.42,76,93,11.16,overcast clouds
249,Abu Dhabi,AE,24.4667,54.3667,84.31,69,0,5.75,clear sky
250,College,US,64.8569,-147.8028,44.92,61,75,8.05,broken clouds
251,Kulhudhuffushi,MV,6.6221,73.07,84.58,71,100,0.36,overcast clouds
252,Arrecife,ES,28.963,-13.5477,67.98,73,40,17.27,scattered clouds
253,Hithadhoo,MV,-0.6,73.0833,84.85,73,100,8.46,overcast clouds
254,Karlstad,SE,59.3793,13.5036,41.56,52,40,6.91,scattered clouds
255,Northam,GB,51.0333,-4.2167,54.61,55,24,6.85,few clouds
256,Maarianhamina,AX,60.0973,19.9348,33.66,64,0,4.61,clear sky
257,Labuhan,ID,-6.8844,112.2051,78.51,87,100,4.43,overcast clouds
258,Kaitangata,NZ,-46.2817,169.8464,49.44,93,83,6.76,broken clouds
259,Jos,NG,9.9167,8.9,77.22,49,98,3.33,overcast clouds
260,Skelleftea,SE,64.7507,20.9528,33.01,41,71,4.61,broken clouds
261,Key Largo,US,25.0865,-80.4473,84.0,57,0,13.27,clear sky
262,Flin Flon,CA,54.7682,-101.865,33.64,37,0,11.5,clear sky
263,Mahibadhoo,MV,3.7833,72.9667,84.43,70,64,2.66,broken clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,83,4,9.26,clear sky
265,Xingcheng,CN,40.6167,120.7167,48.43,37,36,7.49,scattered clouds
266,Gwadar,PK,25.1216,62.3254,82.31,73,1,9.28,clear sky
267,Axim,GH,4.8699,-2.2405,80.8,85,77,8.46,broken clouds
268,Kichera,RU,55.9375,110.0997,22.8,90,98,0.58,overcast clouds
269,Kiama,AU,-34.6833,150.8667,61.38,95,100,3.36,light rain
270,Baykit,RU,61.67,96.37,18.75,91,26,4.43,scattered clouds
271,Sijunjung,ID,-0.6876,100.9537,72.57,96,87,2.3,overcast clouds
272,Monrovia,LR,6.3005,-10.7969,83.97,85,100,9.37,overcast clouds
273,Saurimo,AO,-9.6608,20.3916,68.13,87,99,2.51,overcast clouds
274,Ligayan,PH,4.6533,119.4706,83.12,75,100,12.5,overcast clouds
275,Cayenne,GF,4.9333,-52.3333,86.04,1,20,11.5,few clouds
276,Celestun,MX,20.8667,-90.4,84.6,66,59,19.91,broken clouds
277,Vrangel,RU,42.7297,133.0839,41.99,60,3,26.28,clear sky
278,Korla,CN,41.7597,86.1469,59.59,27,0,5.5,clear sky
279,Olga,RU,43.7444,135.2892,39.65,88,52,9.75,broken clouds
280,Urubicha,BO,-15.3833,-62.95,93.99,35,59,5.35,broken clouds
281,Nelson Bay,AU,-32.7167,152.15,66.0,97,96,11.16,overcast clouds
282,Arlit,NE,18.7369,7.3853,85.39,10,0,10.56,clear sky
283,El Rosario,MX,24.2556,-107.1828,91.02,25,0,11.34,clear sky
284,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,77,40,16.64,scattered clouds
285,Juarez,MX,31.7333,-106.4833,76.64,43,40,21.85,scattered clouds
286,San Cristobal,VE,7.7669,-72.225,80.78,71,96,2.46,overcast clouds
287,Vanavara,RU,60.34,102.2797,25.45,98,84,4.52,broken clouds
288,Boguchany,RU,58.3814,97.4531,27.27,94,100,4.41,overcast clouds
289,Solntsevo,RU,51.4185,36.7499,56.05,93,0,7.56,clear sky
290,Porto Belo,BR,-27.1578,-48.5531,78.8,91,100,8.59,overcast clouds
291,Birao,CF,10.2849,22.7882,87.46,35,85,2.66,overcast clouds
292,Ayacucho,PE,-13.1583,-74.2239,73.26,31,40,1.14,scattered clouds
293,Naryan-Mar,RU,67.6713,53.087,32.23,99,100,7.49,light snow
294,Pisco,PE,-13.7,-76.2167,71.65,68,0,16.11,clear sky
295,Grand Gaube,MU,-20.0064,57.6608,76.37,76,9,3.0,clear sky
296,Necochea,AR,-38.5473,-58.7368,68.85,81,100,15.14,overcast clouds
297,Srednekolymsk,RU,67.45,153.6833,16.99,95,100,12.64,light snow
298,Iranshahr,IR,27.2025,60.6848,89.94,19,5,16.11,clear sky
299,Cap-Aux-Meules,CA,47.3821,-61.8597,50.05,57,75,14.97,light rain
300,Imbituba,BR,-28.24,-48.6703,77.86,85,100,9.4,overcast clouds
301,Tiksi,RU,71.6872,128.8694,-5.24,100,59,3.53,broken clouds
302,Terrace,CA,54.5163,-128.6035,49.91,61,75,9.22,broken clouds
303,High Level,CA,58.5169,-117.136,46.51,53,40,9.22,scattered clouds
